"""TOFULICIOUS"" Feasibility Study",1
An Exploratory Research on How Barangay VAW Desk Persons Respond to VAW Victim-Survivors ,2
An Exploratory Study about the Affection of the Elderlies Interactions with the Agency Staff Inside House of Somang,3
"Community Survey of Barangay 658 Intramuros, Manila: Basis in Developing Relevant Community Programs",4
"Community Survey of Barangay 654 Zone 69 District V Intramuros, Manila: Basis in Developing Relevant Community Programs",5
Perception of Selected Young Professionals in Minalungao National park as a Tourist Destination: A Basis for Promitional Video Advertisement ,6
"A Study on the Level of Awareness, Attitude, and Extent of Compliance of the College Students of Intramuros, Manila on the Establishment of Smoke-Free Environment in Public and Enclosed Places: Basis for Advocacy Campaign ",7
The Rise of Career Opportunities in the Esports Industry for Millenials: Basis for a Communication Plan ,8
The Effects of the Assistance in the Lifestyle of the Beneficiaries Featured in Rappler MovePH's #InspireCourage Articles: A Basis for a Video Documentary ,9
"The Awareness, Interest, and Participation of PLM Students Towards Metro Manila Pride in Promoting the Lesiban, Gay, Bisexual, Transgender, Queer+ Community: A Basis for Public Relations Campaign",10
"Online Sexual Objectification of Filipina: A Content Analysis on RBreezy's Facebook ""Memes"" ",11
Perception and Patronage of Conventional Taxi Services (CTS) Commiters on Conventional Taxi Services in Manila City: A Basis for a Public Relations Campaign,12
A Study on the Perception of Respondents on Ninoy Aquino Parks and Wildlife Center as Ecotourism Park and Rehabilitation Center: A Basis for PR Plan ,13
The Effects of Online Body Shaming Among Female Millennials: Basis for a Proposed Advocacy Campaign ,14
Level of Awareness and the Attitude of Pet Owners and Non-Pet Owners of the City of Manila on the Philippine Society for the Prevention of Cruelty to Animals (PSPCA): Basis for a Digital Media Campaign,15
"A Study on the Preservation Efforts of the Weaving Industry by the Three Stakeholders in Paoay, Ilocos Norte: A Basis for Video Documentary ",16
An In-depth Analysis on Ishmael Bernal's Himala (1982) As a Basis for A Film Literacy Guidebook,17
The Role of Escuela Taller in the Conservation and Rehabilitation of the Philippine Built Heritage: Basis for a Public Relations Campaign,18
Assessment of the Communication Strategies in Promoting the Preservation of Sea Turtles in Bataan: Basis for a Civic Education Plan ,19
A Content Analysis on Selected TV Patrol News Reports with Respect to the Comments of the President of the Philippines ,20
"Factors that Determine the Current Status of Pinoy Indie Music and the Challenges in Music Production, Distribution, and Promotion: A Basis for a Media Plan",21
The Level of Awareness and Patronage of Manileño Film Enthusiasts on the Emergence of Alternative Cinema Houses in Metro Manila and their Benefits to Philippine Cinema ,22
Puning Hot Spring and Restaurant as a Wellness Adventure and Experiental Destination: Basis for a Branding Campaign,23
An Assessment on the Promotional Efforts of Shadow Play Organizations Towards Shadow Play as a National Art Form: Basis for Video Production,24
An Assessment on the Promotional Strategies of the Philippine Animal Welfare Society (PAWS) on its Animal Adoption Program Towards the Residents of the City of Manila: Basis for a Promotional Campaign,25
Consumer's Preferences and Appraisal of Bakerite Bakery Pastry Products: A Basis for an Advertising Campaign ,26
"A Case Study on the ""Pagpapanday"" (Blacksmithing) Preservation Efforts of Pozorrubio, Pangasinan: A Basis for Video Documentary",27
An Assesment of the Communication Tools in Promoting the City of San Fernando Pampanga as a Tourist Destination: Basis for a PR Campaign ,28
"A Case Study on the Preservation Efforts of the Pottery Industry in Calumpit, Bulacan: A Basis for Video Production ",29
"An Assessment of the Promotional Efforts and Initiatives Used in the Promotion of the Municipality of Liliw, Laguna as Footwear Capital of Laguna ",30
Internet of Things-Based Electric Switchboard Panel Using Mobile Application as Control Mechanism ,31
Out-Patient Heart Monitoring System Using the Concept of the Internet of Things (iHeart) ,32
Microcontroller-Based Solid Waste Filtration and Monitoring System Applied in Drainage ,33
Microcontroller-Based Monitoring And Maintaining Device for Saltwater Aquarium,34
Microcontroller-Based Automated Solid Waste Sorting Bin and Monitoring System,35
ECollectibles: Mobile Application for locating rare items and predicting future values of collectible items using data mining ,36
I will survive: A Virtual Simulator for Disaster and Emergency Situation ,37
Zen Garden: An Educational Mobile Application about Botany with the use of Augmented Reality ,38
ColApps: A Mobile Application to Identify the Legitimate Public Transportation through Arduino Technology ,39
Business Chooser App: A mobile application that aid small scale entrepreneurs in choosing a better location and type of business,40
Parking Warden: A Mobile Application that Detects Illegal Parking Vehicles through NFC Technology ,41
Nimble (Pedestrian Accident): Death-Causing-Accident through a Virtual Reality Game using VR Box ,42
VirtualPatrol: A Mobile Virtual Reality Training Simulator for Local Newly Recruit Police Officers ,43
Brain-Controlled Computer through Brainwaves using Electroencephalography,44
CoDe (College Decisions): A Data Mining and Analytics Application that would predict the Student Enrolment and Attrition Rate upon Entry for the Current Semester for Pamantasan ng Lungsod ng Maynila ,45
Faus Food: A Mobile Simulation Game Application on Filipino Food Business ,46
TreeTector: An Android Mobile Application that Identifies the Types and Calculates the Ages of the Different Trees in Bulacan and provide consistent and precise soil analysis using Arduino ,47
NetMan: A Network Management Software Applied to PLM Network System ,48
Gym Well: An Augmented Reality that provides proper ways of workout routines based on the scanned gym equipment ,49
HearSay: An Android Mobile Application for the Hard of Hearing and Deaf-Mute People ,50
CALEB: An Android Mobile Application for Preliminary Assessment of Pet's Health Condition with Augmented Reality ,51
Malaria RemoVeR: A Virtual Reality Game that Helps Fight and Prevent Malaria ,52
Virtual Defender: A Virtual Reality Game for Self Defense using Virtual Reality Controller ,53
A Virtual Reality Simulator: Training for Physical Fitness,54
VEAReality: A Virtual Training for BPO Company - Inbound Call for Customer Service ,55
Pamantasan Volleyball Analyzer (PVA): A PLM based mobile application that hepls volleyball coaches analyze and strategize their games using Data Mining ,56
Shazam Outfit: A Mobile Game Application that Brings Out One's Identitu through Outfits Using Artificial Intelligence ,57
Up&Up: A mobile application that provides simulation of the experience on the top destinations in the Philippines through Virtual Reality ,58
Hiretrack: A Data Mining Web-Application for an Online Applicant Evaluation and Employee Appraisal applied in PLM-HRDO,59
Disaster Simulation: Mobile Game Application Using Artificial Intelligence ,60
Ready Pinoy!: An Augmented Reality Mobile Application to Guide People about the Proper First Aid ,61
Acid-dent: A research study that helps Filipino fishermen to measure and identify the acidity of Philippine seawater,62
Greenovate: A Mobile Based Application that Monitors and Improves Crop Production Despite the Effects of Climate Change using Data Analytics,63
Cooktect: A Mobile Application that provides Recipe based on Available Ingredients via QR Code ,64
Bullying Experiences of Male and Female Preschoolers in a Private School as a Basis for Behavior Awareness Program,65
Level of Parental Monitoring and Fine Motor Skills Development of Kindergarten Learners: A Basis for Enhancement Activity,66
Values Development of Kindergarten Pupils: Basis for Homeroom Guidance Module. ,67
Print Environment and Emergent Love for Reading of Preschool Pupils Towards a Proposed Five C's of Literacy-Rich Classroom Program,68
