id,Image,Title,Authors,Month,Year,College,Course,Type,Abstract
1,book_pic/image.jpg,"""TOFULICIOUS"" Feasibility Study","Bartolata, Caren N., Galura, Andrea, Garcia, Hanna Kezia C., Gonzales, Raymond, Pena, Kimberly, Remo, Denise Diana Patricia M., Rios, Mary Joy A. Tan, Caryl A. ",March,2017,PLM Business Schooland Government Management,Bachelor of Science in Entrepreneurship,Undergraduate,"Since Tofulicious is a starting business, we will be a supplying 15 stores in wet markets at Blumentritt for the first year of production and the location will be Ipil St. Sta. Cruz, Manila. We made this patty for those vegetarian people and kids who doesn't like veggies to eat healthy meatless patty. The founder has the idea to penetrate the whole wet market in the near future. The product is made with healthy ingredients such as tofu, onion, garlic, carrots, soy sauce, vinegar, flour, egg, salt, black pepper, and preservative for longer expiration. It is made especially for people not only a vegetarian but also for those people who wants to experience high quality vegetable patty in lowest price. We believe that tofu patty can be popular and ready to compete with other big company that serves meaty and preservative patty in the future."
2,book_pic/image.jpg,An Exploratory Research on How Barangay VAW Desk Persons Respond to VAW Victim-Survivors ,"Flores, Ma. Genella P., Manalastas, Christine Joy Lyra C., Mendoza, Riciel Bernadeth A., Profugo, Feljun D., Solidum, Ralph vale Joshua I., Tejada, Mitchellin S.",October,2017,"College of Humanities, Arts, and Social Sciences",Bachelor of Science in Social Work ,Undergraduate,"The purpose of this study is to explore how Violence Against Women (VAW) Desk persons respod to VAW victim-survivors and the factors that affect how VAW Desk persons respond to VAW victim-survivors. The researchers achieved the study through employing an exploratory research design wherein the method of qualitative social research was utilized. The researchers found out how VAW Desk persons respon to VAW victims; in a set of processes wherein some were inclusive of the protocal established by the JMC 2010-2---Guidelines Establishing VAW Desks and some weren't. The description of how VAW Desk persons carry out the identified processes were captured as well. The researchers too, determined factor that affect responding to VAW victim-survivors as perceived by the respondents, and as established by the VAW Desk Handbook and the MC 2017-1 Guidelines in monitoring functionality of VAW Desks. Lastly, the researchers identified how the respondents respond to VAW Desk persons does not capture the essence and mandate of the Magna Carta of Women. The researchers recommend further researches, and initiatives for policy makers to further define the process of responding to VAW victim-survivors by the VAW Desk persons and to promote the mandate and development of its exercise. The researchers also recommend that VAW Desk persons should improve their practice and lastly, to social workers who shall consider capacitating VAW Desk persons in addressing community issues regarding VAW.  "
3,book_pic/image.jpg,An Exploratory Study about the Affection of the Elderlies Interactions with the Agency Staff Inside House of Somang,"Balbero, Mariesol P., Cruda, Luis S., Genecera, Angela Marie T., Santos, Shaira Coleen Q., Severo, Ara Mina D., Sta. Ana, Noreen P. ",October,2017,"College of Humanities, Arts, and Social Sciences",Bachelor of Science in Social Work ,Undergraduate,"The purpose of this study is to explore the affection of the elderlies interaction with the agency staff inside the House of Somang. The researchers achieved the study through an exploratory research design wherein the method of qualitative social research was utilized. The researchers found out that the elderlied in the House of Somang had positive response to their caregivers and all are satisfied about the things they receive especially the love and care that they established inside the residential home. Based on the responses of the selected respondents; the Social Worker is kind, diligent, and attentive to all the clients inside the institution. She is the one in charge of the case study reports of the clients, paper works, connection with the hospitals, donations, and other agency who wants to help them, the phone calls and meetings. "
4,book_pic/image.jpg,"Community Survey of Barangay 658 Intramuros, Manila: Basis in Developing Relevant Community Programs","Kalaquian, Tyrone Dane T., Macapinlac, Michelle Diane B., Rodriguez, Hannah Phoebe C., San Juan, Enrique Adolfo C., Villanueva, Pauline Mae F. ",March,2017,"College of Humanities, Arts, and Social Sciences",Bachelor of Science in Social Work ,Undergraduate,"Community survey is a good mechanism in which the needs of the residents as well as the community at large are identified. This can serve as a basis in formulating relevant programs that will address the identified needs of the people. Community leaders can use the data obtained in the survey in identifying what best solutions or alternatives can be offered. According in Braithwaite and Lythcott, the importance of the initial community engagement is to identify, understand, and focus actions on specific community concers and issues, community representatives play a pivotal role in collaborating with the academic partner and engaging other community residents on issues of concern regarding survey plans (1989). In the community survey research undertaken, quality of life, and quality of environment benefits were identified, the results of the community survey then becomes the basis of the researchers for the community (Bentrupperbaumer & Reser, 2008). The goals of the initial community surver and meetings are to establish the condition of the existing urban form, the built and programmatic assets that exist witihin the community, and any local needs that can be served by a new development (Ball, 2012). An importance-strength survey can be useful in assessing the attributes needed to foster growth of an industry in an area. It is intended to determine simultaneously how important locational attributes are and how the local environment compares with competitor environments (Blair & Carroll, 2009). This investigation aims to describe the profiles of Barangay 658 in terms of position, gender, age, civil status, religion, educational attainment, school type, support, job, status, salary range, health problems, vaccination, and vices. It also aims to determine if correlation exists between salary range and health pronlem, as well as educational attainment and health problem. "
5,book_pic/image.jpg,"Community Survey of Barangay 654 Zone 69 District V Intramuros, Manila: Basis in Developing Relevant Community Programs","Crisostomo, Bernie G., Cruda, Luis S., Garcia, Joshua D., Gardose, John Lemuel P., Genecera, Angela Marie T., Tandoc, Patrick Jereme B. ",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Science in Social Work ,Undergraduate,"Nowadays, community organizing is popular among the different civic and society organization. Furthermore, there is also the resurgence of the so-called ""school-based extension services"" or ""University Center for Community Empowerment"" which serves as a task force on implementing community extension programs and services as the 3rd function of Higher Education Institution. Based on the manual published of University Center for Research and Extenstion Services (2018), Responding to one of the University's trifocal function and core value of social responsibility, the University Center for Research and Extension Services (UCRES) has adopted four communities within its surrounding environment specifically Barangays 654, 655, 657, and 658 of intramuros Manila. The UCRES is the implementing arm of the University on extension programs and services and serves as the lead unit in bridging gap between the academe and community through relevant extension services to its adopted communities and other areas with the participation of its faculty, students, and personnel. These are geared towards the development of the adopted communities as well as the nearby areas towards a more self-reliant and stable community members. To achieve this end, a Memorandum of Agreement has been signed between the University President and the Chairmen of the four Barangays. To further be at help to the needs of the adopted partner communities, Community research is a tool on identifying and recognizing the needs of the community. This is the first step in Community Organizing the community needs analysis. Community Organizing is a process for decision-making and a ademocratic method by which an entire group of people can come to an agreement. The input and ideaas of all participants are gathered and synthesized to arrive at a final decision acceptable to all through consensus. This model also most emphasizes individual skills development and education, places a greater emphasis on developing social services. "
6,book_pic/image.jpg,Perception of Selected Young Professionals in Minalungao National park as a Tourist Destination: A Basis for Promitional Video Advertisement ,"Del Castillo, Mark Angelo R., Garboso, Rochelle E., Manalo, Johnne Russell Carlos S., Monroyo, Carl Manolet K., Zamora, Joey Ann S. ",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"The study was conducted to determine the perception of young professionals in Minalungao National Park as a tourist destination. Minalungao National Park is known as the best kept secret of Nueva Ecija because of its beauty and recreational activities it offers. This promotional video advertisement entitled: ""Tara na sa Minalungao"" aims to promote and encourage tourist to visit and experience the beauty and fun in Minalungao National Park.  This quantitative research determined its appropriate video output through the use of purposive sampling technique and fishbowl technique. Using survey for its data gathering method, this study determined the young professional's perception, attitude and patronage towards Minalungao National Park as a tourist destination. The survey involved 100 respondents from Metro Manila. Based on the results of the study, the researchers found out that the perception of young professional towards Minalungao National Park is poor. The researchers recommend that the Local Tourism Office of General Tinio and the Minalungao Administration that they should give more time and effort in improving and rehabilitating the beauty of the park. "
7,book_pic/image.jpg,"A Study on the Level of Awareness, Attitude, and Extent of Compliance of the College Students of Intramuros, Manila on the Establishment of Smoke-Free Environment in Public and Enclosed Places: Basis for Advocacy Campaign ","Osorio, Joeriz S., Peralta, Ann Claudette D., Pring, Norilen Louise B., Solis, Marian Geadeth L. ",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"Executive Order No. 26, also known as the Smoking Ban, calls for the establishment of smoke-free environment in public and enclosed places and aims to protect and promote each citizen's right to breathe clean air and reduce the casualties on smoke-related diseases by prohibiting smoking in public and enclosed places. The Order was signed by President Rodrigo Duterte on May 16, 2017 and took effect on July 23, 2017. Despite the ban and other previous laws relating to smoking in public and enclosed places, studies show that there is still a large population of smokers in the Philippines, their continuation to smoke in paublic and enclosed places and the youth prevalence on smoking. This study determined the Intramuros college students' level of awareness, attitude, and extent of compliance with Executive Order No. 26. The survey involved 100 college students in Intramuros as respondents. Insights were also gathered from key personnel working under the Department of Health, Manila City Hall, lntramuros Administration and Barangay 658, lntramuros Manila.Results of the study showed that college students were aware that EO #26 is the Smoking Ban, that it prohibits smoking in public and enclosed places to protect the health of other citizens. However, there is a low level of compliance to the ban, passiveness of respondents, and miscommunication among government officials. Thus, it is highly important for the EO #26 to be driven to implementation for the internal and external publics to comply. This can be done by creating an advocacy campaign, which aims to gain attention to the public to raise awareness. "
8,book_pic/image.jpg,The Rise of Career Opportunities in the Esports Industry for Millenials: Basis for a Communication Plan ,"Galura, Christine Joy L., Villanueva, William Lowell R., Yao, Jane Bianca N.",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Public Relations,Undergraduate,"There is a 6.6 percent increase in the unemployment rate of the country as of January of 2017 (Philippine Statistics Authority). A significant amount of these unemployed population is composed of graduates who has garnered a higher unemployment rate than those of the undergraduates.The top reason of these unemployed population on why they don't have work is because most of them think that there is no work available for them or there is no work that would suit their skills. Meanwhile, the Esports industry has been showing a lot of potential in becoming a huge industry in the business scene that is capable of providing career opportunities to millennials. The aim of this study is to identify and show the job opportunities available in Esports industry for millennials. Specifically, the study intends to know in-demand skills and courses in the industry, knowledge and educational background required and the millennials' perception towards the Esports industry. In order to accomplish the study, data gathering procedures were done through a series of interviews with various key informants who are experts in the Esports industry and a focus group discussion among millennials was conducted to know their impression about the industry. The results from the interview and focus group discussion showed that there are numerous job opportunities in the Esports industry in terms of the creative and business aspect of it. Contrary to the popular belief, getting involved with games or having knowledge in playing video games is not a pre-requirement. While the Focus Group Discussion showed that millennials have negative impression about gaming. There is also a low level of awareness about the potentials of the industry in terms of providing professional career path. Based on these results, a communication plan was formulated with the aim of educating the millennials of the career opportunities in the Esports industry. "
9,book_pic/image.jpg,The Effects of the Assistance in the Lifestyle of the Beneficiaries Featured in Rappler MovePH's #InspireCourage Articles: A Basis for a Video Documentary ,"Akim, Sarah Ruth C., Bucsit, Troy Eldrich D., Cabiles, Jam Marielle D., Gaa, Jorilyn I., Morada, Anjela Louise S.",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"This study aims to determine the effects of the assistance in the lifestyle of the beneficiaries featured in Rappler MovePH's #InspireCourage articles. This study is a qualitative type of research, in which the researchers used the method of descriptive analysis to analyze the present existing conditions to uncover new facts that answered the statement of the problem. The researchers utilized purposive sampling technique in selecting the beneficiaries that were based on their given criterion. The researchers thoroughly interviewed the beneficiaries, Francis ""Andy"" Villaruel, Luisa Pangindian, Elmer Padilla, and Daniel Cabrera and gathered the necessary data that were needed in the study. The results gathered showed that the common effects of the articles to the beneficiaries is that it helped them have a social media attention in various social media platforms which led to increase their sales, as well as give them a stable income for them to steadily provide the needs of their families. After answering the problems of the study, the researchers concluded that there are indeed effects of the assistance in the lifestyle of the beneficiaries in terms of their livelihood, education and financial condition. "
10,book_pic/image.jpg,"The Awareness, Interest, and Participation of PLM Students Towards Metro Manila Pride in Promoting the Lesiban, Gay, Bisexual, Transgender, Queer+ Community: A Basis for Public Relations Campaign","Garcia, Poelene A., Hilario, Audrey C., Malubag, Charina Therese Y., Profugo, Tristan Roi H., Salvador, Samantha George T. ",March,2018,"College of Humanities, Arts, and Social Sciences",Bachelor of Arts in Communication,Undergraduate,"Metro Manila Pride is one of the many LGBT organizations in the country that aims to create safe, informative, affirming, and promoting spaces for Lesbian, Gay, Bisexual, Transgender, Queer+ people in Metro Manila. The organization spearheaded the first and longest-running Pride March in Southeast Asia that is Metro Manila Pride March. To see if the efforts of the organization have reached a wider scope of audiences a research was conducted in the university level, namely in Pamantasan ng Lungsod ng Maynila The aims of this study were determine the level of awareness and interest of Pamantasan ng Lungsod ng Maynila students towards Metro Manila Pride. Subsequent to this, a research was conducted to know if the students of PLM are willing to participate in events concerning the LGBTQ+ community. In this study, Majority of the respondents were aware that Metro Manila Pride organization exists but they haven't looked up or read articles about Metro Manila Pride. Most of the respondents are concerned towards LGBTQ+ community rights but are still undecided to participate in most of Metro Manila Pride's programs. In order to address this, a PR plan was constructed to introduce Metro Manila Pride to PLM and have them participate in various activities concerning the LGBTQ+ community. "
